"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:59:31 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","DFO (barrels)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","PC (short tons)","ANT (short tons)","TDF (short tons)","SUN","SUB (short tons)","PG (Mcf)","OBL (barrels)","WDL (barrels)","OBS (short tons)","LIG (short tons)","WAT","MSN (short tons)","MSB (short tons)","OTH","LFG (Mcf)","PUR","WC (short tons)","JF (barrels)"
"Indeck West Enfield Energy Center","--","--","--",225485,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Ingredion Winston Salem","--",86572,"--",216181,"--","--",6427,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Inland Paperboard Packaging Rome","--",447603,"--",725878,1015,854966,112533,"--",25160,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4988,"--","--","--","--"
"International Paper - Orange","--",2248464,"--",185860,"--",648071,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Augusta Mill","--",2199999,"--",311377,12659,869937,14357,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Co. - New Bern Mill","--",1531881,"--","--",0,661261,"--","--",380,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Eastover Facility","--","--","--",351272,5623,1259131,83576,"--",0,"--",47169,"--","--",14084,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Franklin Mill","--",565321,"--",0,"--",502538,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Georgetown Mill","--",427657,"--",582606,0,1179011,31587,"--",3691,"--","--","--","--",39691,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"International Paper Pensacola","--",1552939,"--",462796,0,908435,2059,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--"
"International Paper Prattville Mill",0,1745182,"--",494249,0,970161,61273,"--","--","--",26803,"--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--"
