Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
WestRock (TX),50101,TX,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,12307,WestRock (TX),WestRock (TX),1913 FM 105,Evadale,TX,77615,Jasper,30.3419,-94.0656
WestRock (WA),57099,WA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,59348,WestRock (WA),WestRock (WA),801 East Portland Ave,Tacoma,WA,98421,Pierce,47.266069,-122.428288
WestRock Panama City Mill,50807,FL,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,18157,WestRock Corp-Panama City,WestRock Panama City Mill,One Everitt Ave,Panama City,FL,32401,Bay,30.141984,-85.621103
WestRock-West Point Mill,10017,VA,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,17465,WestRock-West Point Mill,WestRock-West Point Mill,19th and Main Street,West Point,VA,23181,King William,37.5392,-76.8053
Western Renewable Energy,56358,AZ,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,54690,Western Renewable Energy LLC,Western Renewable Energy,975 S. Water Canyon Rd.,Eagar,AZ,85925,Apache,34.093006,-109.289979
Westervelt Moundville Cogen,57467,AL,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,56785,The Westervelt Co,Westervelt Moundville Cogen,2500 Gulf States Pkwy,Moundville,AL,35474,Hale,32.960714,-87.655419
Weyerhaeuser Pine Hill Operations,54752,AL,Industrial CHP,ST,"BLQ, WDS",Wood/Wood Waste Biomass,56291,International Paper Co.,Weyerhaeuser Pine Hill Operations,7616 Hwy 10 West,Pine Hill,AL,36769,Wilcox,31.9698,-87.4806
Wheelabrator Ridge Energy,54529,FL,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,20541,Wheelabrator Environmental Systems,Wheelabrator Ridge Energy,3131 K-Ville Avenue,Auburndale,FL,33823,Polk,28.0274,-81.8475
Wheelabrator Shasta,50881,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,20541,Wheelabrator Environmental Systems,Wheelabrator Shasta,20811 Industry Rd,Anderson,CA,96007,Shasta,40.428329,-122.279248
Windy Ridge Generating Facility,58055,IN,Industrial Non-CHP,IC,OBG,Other Waste Biomass,57434,T&M Limited Partnership,Windy Ridge Generating Facility,1652 North 1100 West,Fair Oaks,IN,47943,Jasper,41.034722,-87.260278
Wisconsin Rapids Pulp Mill,10477,WI,Industrial CHP,ST,BLQ,Wood/Wood Waste Biomass,55965,Verso Corporation,Wisconsin Rapids Pulp Mill,950 Fourth Avenue North,Wisconsin Rapids,WI,54495,Wood,44.3953,-89.826
Woodland Biomass Power Ltd,10836,CA,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,54806,DTE Energy Services-Woodland,Woodland Biomass Power Ltd,1786 East Kentucky Ave,Woodland,CA,95776,Yolo,38.6905,-121.7371
Woodville Renewable Power Project,58944,TX,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,39347,"East Texas Electric Coop, Inc",Woodville Renewable Power Project,1580 CR 1020,Woodville,TX,75979,Tyler,30.748333,-94.4375
Wooster Renewable Energy,59072,OH,Industrial Non-CHP,IC,OBG,Other Waste Biomass,58892,Wooster Renewable Energy LLC,Wooster Renewable Energy,1123 Old Columbus Road,Wooster,OH,44691,Wayne,40.785,-81.951389
Zeeland Farm Services,58704,MI,IPP Non-CHP,IC,OBG,Other Waste Biomass,58643,Zeeland Farm Services,Zeeland Farm Services,2468 84th Avenue,Zeeland,MI,49464,Ottawa,42.813056,-85.986111
Zero Waste Energy Development Co LLC,60220,CA,IPP CHP,IC,OBG,"Other Waste Biomass""",60003,Zero Waste Energy Development Company LLC,Zero Waste Energy Development Co LLC,685 Lose Esteros Road,San Jose,CA,95134,Santa Clara,37.4325,-121.95285
